date,series_id,value
1967-01-07,ICSA,208000
1967-01-14,ICSA,207000
1967-01-21,ICSA,217000
1967-01-28,ICSA,204000
1967-02-04,ICSA,216000
1967-02-11,ICSA,229000
1967-02-18,ICSA,229000
1967-02-25,ICSA,242000
1967-03-04,ICSA,310000
1967-03-11,ICSA,241000
1967-03-18,ICSA,245000
1967-03-25,ICSA,247000
1967-04-01,ICSA,259000
1967-04-08,ICSA,257000
1967-04-15,ICSA,299000
1967-04-22,ICSA,245000
1967-04-29,ICSA,255000
1967-05-06,ICSA,254000
1967-05-13,ICSA,231000
1967-05-20,ICSA,230000
1967-05-27,ICSA,228000
1967-06-03,ICSA,248000
1967-06-10,ICSA,238000
1967-06-17,ICSA,224000
1967-06-24,ICSA,218000
1967-07-01,ICSA,209000
1967-07-08,ICSA,240000
1967-07-15,ICSA,241000
1967-07-22,ICSA,240000
1967-07-29,ICSA,209000
1967-08-05,ICSA,221000
1967-08-12,ICSA,202000
1967-08-19,ICSA,215000
1967-08-26,ICSA,213000
1967-09-02,ICSA,218000
1967-09-09,ICSA,231000
1967-09-16,ICSA,220000
1967-09-23,ICSA,209000
1967-09-30,ICSA,204000
1967-10-07,ICSA,231000
1967-10-14,ICSA,206000
1967-10-21,ICSA,223000
1967-10-28,ICSA,207000
1967-11-04,ICSA,222000
1967-11-11,ICSA,214000
1967-11-18,ICSA,198000
1967-11-25,ICSA,191000
1967-12-02,ICSA,196000
1967-12-09,ICSA,221000
1967-12-16,ICSA,204000
1967-12-23,ICSA,219000
1967-12-30,ICSA,216000
1968-01-06,ICSA,222000
1968-01-13,ICSA,222000
1968-01-20,ICSA,221000
1968-01-27,ICSA,198000
1968-02-03,ICSA,244000
1968-02-10,ICSA,210000
1968-02-17,ICSA,196000
1968-02-24,ICSA,193000
1968-03-02,ICSA,190000
1968-03-09,ICSA,204000
1968-03-16,ICSA,190000
1968-03-23,ICSA,200000
1968-03-30,ICSA,192000
1968-04-06,ICSA,191000
1968-04-13,ICSA,171000
1968-04-20,ICSA,183000
1968-04-27,ICSA,251000
1968-05-04,ICSA,209000
1968-05-11,ICSA,194000
1968-05-18,ICSA,199000
1968-05-25,ICSA,194000
1968-06-01,ICSA,199000
1968-06-08,ICSA,192000
1968-06-15,ICSA,194000
1968-06-22,ICSA,189000
1968-06-29,ICSA,194000
1968-07-06,ICSA,214000
1968-07-13,ICSA,186000
1968-07-20,ICSA,180000
1968-07-27,ICSA,205000
1968-08-03,ICSA,206000
1968-08-10,ICSA,218000
1968-08-17,ICSA,192000
1968-08-24,ICSA,193000
1968-08-31,ICSA,188000
1968-09-07,ICSA,189000
1968-09-14,ICSA,195000
1968-09-21,ICSA,191000
1968-09-28,ICSA,189000
1968-10-05,ICSA,185000
1968-10-12,ICSA,186000
1968-10-19,ICSA,191000
1968-10-26,ICSA,182000
1968-11-02,ICSA,181000
1968-11-09,ICSA,183000
1968-11-16,ICSA,192000
1968-11-23,ICSA,199000
1968-11-30,ICSA,162000
1968-12-07,ICSA,188000
1968-12-14,ICSA,195000
1968-12-21,ICSA,192000
1968-12-28,ICSA,223000
1969-01-04,ICSA,190000
1969-01-11,ICSA,191000
1969-01-18,ICSA,192000
1969-01-25,ICSA,193000
1969-02-01,ICSA,203000
1969-02-08,ICSA,197000
1969-02-15,ICSA,192000
1969-02-22,ICSA,192000
1969-03-01,ICSA,201000
1969-03-08,ICSA,191000
1969-03-15,ICSA,189000
1969-03-22,ICSA,181000
1969-03-29,ICSA,183000
1969-04-05,ICSA,182000
1969-04-12,ICSA,190000
1969-04-19,ICSA,187000
1969-04-26,ICSA,177000
1969-05-03,ICSA,177000
1969-05-10,ICSA,183000
1969-05-17,ICSA,179000
1969-05-24,ICSA,180000
1969-05-31,ICSA,187000
1969-06-07,ICSA,192000
1969-06-14,ICSA,182000
1969-06-21,ICSA,191000
1969-06-28,ICSA,203000
1969-07-05,ICSA,227000
1969-07-12,ICSA,210000
1969-07-19,ICSA,206000
1969-07-26,ICSA,192000
1969-08-02,ICSA,196000
1969-08-09,ICSA,203000
1969-08-16,ICSA,199000
1969-08-23,ICSA,199000
1969-08-30,ICSA,195000
1969-09-06,ICSA,182000
1969-09-13,ICSA,209000
1969-09-20,ICSA,195000
1969-09-27,ICSA,193000
1969-10-04,ICSA,193000
1969-10-11,ICSA,200000
1969-10-18,ICSA,199000
1969-10-25,ICSA,205000
1969-11-01,ICSA,198000
1969-11-08,ICSA,211000
1969-11-15,ICSA,197000
1969-11-22,ICSA,217000
1969-11-29,ICSA,202000
1969-12-06,ICSA,202000
1969-12-13,ICSA,222000
1969-12-20,ICSA,232000
1969-12-27,ICSA,223000
1970-01-03,ICSA,230000
1970-01-10,ICSA,242000
1970-01-17,ICSA,268000
1970-01-24,ICSA,256000
1970-01-31,ICSA,239000
1970-02-07,ICSA,256000
1970-02-14,ICSA,265000
1970-02-21,ICSA,271000
1970-02-28,ICSA,242000
1970-03-07,ICSA,262000
1970-03-14,ICSA,271000
1970-03-21,ICSA,264000
1970-03-28,ICSA,276000
1970-04-04,ICSA,273000
1970-04-11,ICSA,305000
1970-04-18,ICSA,374000
1970-04-25,ICSA,349000
1970-05-02,ICSA,334000
1970-05-09,ICSA,318000
1970-05-16,ICSA,303000
1970-05-23,ICSA,296000
1970-05-30,ICSA,301000
1970-06-06,ICSA,301000
1970-06-13,ICSA,298000
1970-06-20,ICSA,296000
1970-06-27,ICSA,291000
1970-07-04,ICSA,277000
1970-07-11,ICSA,288000
1970-07-18,ICSA,294000
1970-07-25,ICSA,287000
1970-08-01,ICSA,261000
1970-08-08,ICSA,266000
1970-08-15,ICSA,300000
1970-08-22,ICSA,303000
1970-08-29,ICSA,297000
1970-09-05,ICSA,324000
1970-09-12,ICSA,292000
1970-09-19,ICSA,325000
1970-09-26,ICSA,333000
1970-10-03,ICSA,350000
1970-10-10,ICSA,327000
1970-10-17,ICSA,334000
1970-10-24,ICSA,330000
1970-10-31,ICSA,327000
1970-11-07,ICSA,336000
1970-11-14,ICSA,314000
1970-11-21,ICSA,314000
1970-11-28,ICSA,337000
1970-12-05,ICSA,308000
1970-12-12,ICSA,306000
1970-12-19,ICSA,289000
1970-12-26,ICSA,321000
1971-01-02,ICSA,303000
1971-01-09,ICSA,288000
1971-01-16,ICSA,299000
1971-01-23,ICSA,312000
1971-01-30,ICSA,292000
1971-02-06,ICSA,296000
1971-02-13,ICSA,282000
1971-02-20,ICSA,268000
1971-02-27,ICSA,290000
1971-03-06,ICSA,297000
1971-03-13,ICSA,287000
1971-03-20,ICSA,291000
1971-03-27,ICSA,300000
1971-04-03,ICSA,299000
1971-04-10,ICSA,279000
1971-04-17,ICSA,284000
1971-04-24,ICSA,288000
1971-05-01,ICSA,290000
1971-05-08,ICSA,293000
1971-05-15,ICSA,284000
1971-05-22,ICSA,295000
1971-05-29,ICSA,299000
1971-06-05,ICSA,301000
1971-06-12,ICSA,295000
1971-06-19,ICSA,299000
1971-06-26,ICSA,291000
1971-07-03,ICSA,277000
1971-07-10,ICSA,264000
1971-07-17,ICSA,313000
1971-07-24,ICSA,304000
1971-07-31,ICSA,308000
1971-08-07,ICSA,349000
1971-08-14,ICSA,325000
1971-08-21,ICSA,320000
1971-08-28,ICSA,307000
1971-09-04,ICSA,359000
1971-09-11,ICSA,312000
1971-09-18,ICSA,302000
1971-09-25,ICSA,308000
1971-10-02,ICSA,299000
1971-10-09,ICSA,313000
1971-10-16,ICSA,299000
1971-10-23,ICSA,294000
1971-10-30,ICSA,283000
1971-11-06,ICSA,301000
1971-11-13,ICSA,295000
1971-11-20,ICSA,274000
1971-11-27,ICSA,278000
1971-12-04,ICSA,299000
1971-12-11,ICSA,280000
1971-12-18,ICSA,269000
1971-12-25,ICSA,244000
1972-01-01,ICSA,279000
1972-01-08,ICSA,295000
1972-01-15,ICSA,250000
1972-01-22,ICSA,263000
1972-01-29,ICSA,269000
1972-02-05,ICSA,276000
1972-02-12,ICSA,266000
1972-02-19,ICSA,258000
1972-02-26,ICSA,254000
1972-03-04,ICSA,257000
1972-03-11,ICSA,264000
1972-03-18,ICSA,266000
1972-03-25,ICSA,264000
1972-04-01,ICSA,258000
1972-04-08,ICSA,274000
1972-04-15,ICSA,259000
1972-04-22,ICSA,259000
1972-04-29,ICSA,265000
1972-05-06,ICSA,271000
1972-05-13,ICSA,266000
1972-05-20,ICSA,267000
1972-05-27,ICSA,267000
1972-06-03,ICSA,264000
1972-06-10,ICSA,268000
1972-06-17,ICSA,275000
1972-06-24,ICSA,286000
1972-07-01,ICSA,350000
1972-07-08,ICSA,297000
1972-07-15,ICSA,318000
1972-07-22,ICSA,276000
1972-07-29,ICSA,247000
1972-08-05,ICSA,250000
1972-08-12,ICSA,246000
1972-08-19,ICSA,256000
1972-08-26,ICSA,262000
1972-09-02,ICSA,258000
1972-09-09,ICSA,259000
1972-09-16,ICSA,258000
1972-09-23,ICSA,255000
1972-09-30,ICSA,251000
1972-10-07,ICSA,263000
1972-10-14,ICSA,250000
1972-10-21,ICSA,257000
1972-10-28,ICSA,234000
1972-11-04,ICSA,255000
1972-11-11,ICSA,242000
1972-11-18,ICSA,271000
1972-11-25,ICSA,235000
1972-12-02,ICSA,226000
1972-12-09,ICSA,252000
1972-12-16,ICSA,263000
1972-12-23,ICSA,246000
1972-12-30,ICSA,225000
1973-01-06,ICSA,226000
1973-01-13,ICSA,245000
1973-01-20,ICSA,229000
1973-01-27,ICSA,214000
1973-02-03,ICSA,228000
1973-02-10,ICSA,226000
1973-02-17,ICSA,216000
1973-02-24,ICSA,218000
1973-03-03,ICSA,225000
1973-03-10,ICSA,229000
1973-03-17,ICSA,228000
1973-03-24,ICSA,232000
1973-03-31,ICSA,222000
1973-04-07,ICSA,247000
1973-04-14,ICSA,230000
1973-04-21,ICSA,243000
1973-04-28,ICSA,236000
1973-05-05,ICSA,248000
1973-05-12,ICSA,238000
1973-05-19,ICSA,237000
1973-05-26,ICSA,238000
1973-06-02,ICSA,232000
1973-06-09,ICSA,246000
1973-06-16,ICSA,237000
1973-06-23,ICSA,242000
1973-06-30,ICSA,237000
1973-07-07,ICSA,248000
1973-07-14,ICSA,232000
1973-07-21,ICSA,241000
1973-07-28,ICSA,250000
1973-08-04,ICSA,256000
1973-08-11,ICSA,265000
1973-08-18,ICSA,258000
1973-08-25,ICSA,254000
1973-09-01,ICSA,242000
1973-09-08,ICSA,252000
1973-09-15,ICSA,245000
1973-09-22,ICSA,246000
1973-09-29,ICSA,249000
1973-10-06,ICSA,236000
1973-10-13,ICSA,246000
1973-10-20,ICSA,249000
1973-10-27,ICSA,235000
1973-11-03,ICSA,246000
1973-11-10,ICSA,282000
1973-11-17,ICSA,254000
1973-11-24,ICSA,233000
1973-12-01,ICSA,256000
1973-12-08,ICSA,266000
1973-12-15,ICSA,272000
1973-12-22,ICSA,326000
1973-12-29,ICSA,300000
1974-01-05,ICSA,269000
1974-01-12,ICSA,340000
1974-01-19,ICSA,321000
1974-01-26,ICSA,291000
1974-02-02,ICSA,302000
1974-02-09,ICSA,369000
1974-02-16,ICSA,311000
1974-02-23,ICSA,292000
1974-03-02,ICSA,301000
1974-03-09,ICSA,305000
1974-03-16,ICSA,315000
1974-03-23,ICSA,314000
1974-03-30,ICSA,323000
1974-04-06,ICSA,296000
1974-04-13,ICSA,297000
1974-04-20,ICSA,296000
1974-04-27,ICSA,283000
1974-05-04,ICSA,287000
1974-05-11,ICSA,296000
1974-05-18,ICSA,298000
1974-05-25,ICSA,309000
1974-06-01,ICSA,278000
1974-06-08,ICSA,314000
1974-06-15,ICSA,303000
1974-06-22,ICSA,308000
1974-06-29,ICSA,325000
1974-07-06,ICSA,311000
1974-07-13,ICSA,304000
1974-07-20,ICSA,303000
1974-07-27,ICSA,320000
1974-08-03,ICSA,335000
1974-08-10,ICSA,347000
1974-08-17,ICSA,332000
1974-08-24,ICSA,343000
1974-08-31,ICSA,350000
1974-09-07,ICSA,350000
1974-09-14,ICSA,357000
1974-09-21,ICSA,370000
1974-09-28,ICSA,366000
1974-10-05,ICSA,371000
1974-10-12,ICSA,413000
1974-10-19,ICSA,389000
1974-10-26,ICSA,414000
1974-11-02,ICSA,406000
1974-11-09,ICSA,441000
1974-11-16,ICSA,449000
1974-11-23,ICSA,518000
1974-11-30,ICSA,474000
1974-12-07,ICSA,528000
1974-12-14,ICSA,510000
1974-12-21,ICSA,521000
1974-12-28,ICSA,537000
1975-01-04,ICSA,456000
1975-01-11,ICSA,554000
1975-01-18,ICSA,575000
1975-01-25,ICSA,555000
1975-02-01,ICSA,559000
1975-02-08,ICSA,545000
1975-02-15,ICSA,530000
1975-02-22,ICSA,544000
1975-03-01,ICSA,546000
1975-03-08,ICSA,551000
1975-03-15,ICSA,531000
1975-03-22,ICSA,550000
1975-03-29,ICSA,555000
1975-04-05,ICSA,537000
1975-04-12,ICSA,520000
1975-04-19,ICSA,531000
1975-04-26,ICSA,513000
1975-05-03,ICSA,505000
1975-05-10,ICSA,507000
1975-05-17,ICSA,514000
1975-05-24,ICSA,493000
1975-05-31,ICSA,475000
1975-06-07,ICSA,529000
1975-06-14,ICSA,497000
1975-06-21,ICSA,497000
1975-06-28,ICSA,459000
1975-07-05,ICSA,423000
1975-07-12,ICSA,446000
1975-07-19,ICSA,445000
1975-07-26,ICSA,454000
1975-08-02,ICSA,454000
1975-08-09,ICSA,459000
1975-08-16,ICSA,444000
1975-08-23,ICSA,457000
1975-08-30,ICSA,446000
1975-09-06,ICSA,447000
1975-09-13,ICSA,456000
1975-09-20,ICSA,433000
1975-09-27,ICSA,445000
1975-10-04,ICSA,426000
1975-10-11,ICSA,429000
1975-10-18,ICSA,404000
1975-10-25,ICSA,426000
1975-11-01,ICSA,414000
1975-11-08,ICSA,415000
1975-11-15,ICSA,386000
1975-11-22,ICSA,401000
1975-11-29,ICSA,387000
1975-12-06,ICSA,373000
1975-12-13,ICSA,368000
1975-12-20,ICSA,365000
1975-12-27,ICSA,391000
1976-01-03,ICSA,362000
1976-01-10,ICSA,402000
1976-01-17,ICSA,370000
1976-01-24,ICSA,363000
1976-01-31,ICSA,359000
1976-02-07,ICSA,353000
1976-02-14,ICSA,344000
1976-02-21,ICSA,347000
1976-02-28,ICSA,349000
1976-03-06,ICSA,348000
1976-03-13,ICSA,360000
1976-03-20,ICSA,368000
1976-03-27,ICSA,366000
1976-04-03,ICSA,380000
1976-04-10,ICSA,373000
1976-04-17,ICSA,361000
1976-04-24,ICSA,367000
1976-05-01,ICSA,385000
1976-05-08,ICSA,395000
1976-05-15,ICSA,382000
1976-05-22,ICSA,394000
1976-05-29,ICSA,402000
1976-06-05,ICSA,382000
1976-06-12,ICSA,407000
1976-06-19,ICSA,399000
1976-06-26,ICSA,387000
1976-07-03,ICSA,394000
1976-07-10,ICSA,372000
1976-07-17,ICSA,406000
1976-07-24,ICSA,394000
1976-07-31,ICSA,388000
1976-08-07,ICSA,378000
1976-08-14,ICSA,382000
1976-08-21,ICSA,400000
1976-08-28,ICSA,394000
1976-09-04,ICSA,421000
1976-09-11,ICSA,383000
1976-09-18,ICSA,403000
1976-09-25,ICSA,423000
1976-10-02,ICSA,408000
1976-10-09,ICSA,411000
1976-10-16,ICSA,403000
1976-10-23,ICSA,409000
1976-10-30,ICSA,414000
1976-11-06,ICSA,390000
1976-11-13,ICSA,383000
1976-11-20,ICSA,408000
1976-11-27,ICSA,377000
1976-12-04,ICSA,402000
1976-12-11,ICSA,395000
1976-12-18,ICSA,365000
1976-12-25,ICSA,333000
1977-01-01,ICSA,380000
1977-01-08,ICSA,416000
1977-01-15,ICSA,368000
1977-01-22,ICSA,423000
1977-01-29,ICSA,422000
1977-02-05,ICSA,565000
1977-02-12,ICSA,477000
1977-02-19,ICSA,399000
1977-02-26,ICSA,362000
1977-03-05,ICSA,361000
1977-03-12,ICSA,355000
1977-03-19,ICSA,369000
1977-03-26,ICSA,356000
1977-04-02,ICSA,350000
1977-04-09,ICSA,376000
1977-04-16,ICSA,361000
